metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
activationRate_light_feet_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_long_leash_legacy_elf_out_of_zone,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_long_leash_legacy_human_scattered,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_long_range_menace_human_counter,14.1927,1.0000,,11.4583,12.5000,15.6250,13.5417,12.2917,13.5417,16.2500,18.3333
activationRate_mob_instigator_orc_mob,22.5000,1.0000,,21.6667,22.5000,23.7500,20.8333,20.0000,23.3333,22.7083,25.2083
activationRate_natural_leader_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_elf_out_of_zone,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_own_third_anchor_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_human_random,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_orc_giants,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_own_third_anchor_orc_mob,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor_undead_grind,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_pit_veteran_human_scattered,67.1094,1.0000,,68.9583,67.5000,70.6250,58.9583,68.9583,68.9583,67.5000,65.4167
activationRate_pivot_duo_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_poacher_instinct_orc_violence,59.8438,1.0000,,57.5000,59.1667,61.0417,59.1667,58.7500,61.6667,61.8750,59.5833
activationRate_road_warrior_human_scattered,4.0365,1.0000,,3.9583,4.5833,4.5833,4.1667,4.3750,5.0000,2.9167,2.7083
activationRate_road_warrior_orc_mob,6.0938,1.0000,,4.1667,6.6667,3.9583,8.9583,5.4167,7.2917,5.4167,6.8750
activationRate_safety_net_dwarf_fortress,39.9740,1.0000,,42.2917,38.7500,40.4167,41.4583,38.1250,38.3333,38.3333,42.0833
activationRate_safety_net_elf_bulwark,51.2500,1.0000,,45.4167,50.4167,54.5833,48.7500,53.5417,45.8333,56.2500,55.2083
